filename,before_path,after_path,Cycle,state,Potential/V,start_time,end_time
2025-12-23-16-24-23-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-24-23-300000.csv,1,CCD,-0.2553,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-25-28-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-25-28-300000.csv,1,CCD,-0.2031,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-26-33-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-26-33-300000.csv,1,CCD,-0.1894,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-27-39-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-27-39-300000.csv,1,CCD,-0.1834,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-28-44-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-28-44-300000.csv,1,CCD,-0.1801,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-29-50-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-29-50-300000.csv,1,CCD,-0.1789,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-30-56-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-30-56-300000.csv,1,R,-0.0003,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-32-01-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-32-01-300000.csv,1,R,-0.0002,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-33-06-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-33-06-300000.csv,1,CCC,0.1389,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-34-11-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-34-11-300000.csv,1,CCC,0.1378,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-35-17-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-35-17-300000.csv,1,CCC,0.1412,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-36-22-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-36-22-300000.csv,1,CCC,0.1513,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-37-28-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-37-28-300000.csv,1,R,0.0859,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-38-33-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-38-33-300000.csv,1,R,0.0397,2025/12/23 15:24,2025/12/23 16:39
2025-12-23-16-39-39-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-39-39-300000.csv,2,CCD,-0.1288,2025/12/23 16:39,2025/12/23 16:54
2025-12-23-16-40-45-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-40-45-300000.csv,2,CCD,-0.1249,2025/12/23 16:39,2025/12/23 16:54
2025-12-23-16-41-50-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-41-50-300000.csv,2,CCD,-0.1263,2025/12/23 16:39,2025/12/23 16:54
2025-12-23-16-42-56-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-42-56-300000.csv,2,CCD,-0.1304,2025/12/23 16:39,2025/12/23 16:54
2025-12-23-16-45-13-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-45-13-300000.csv,2,CCD,-0.1445,2025/12/23 16:39,2025/12/23 16:54
2025-12-23-16-46-19-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-46-19-300000.csv,2,R,-0.0003,2025/12/23 16:39,2025/12/23 16:54
2025-12-23-16-47-25-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-47-25-300000.csv,2,CCC,0.1423,2025/12/23 16:39,2025/12/23 16:54
2025-12-23-16-48-30-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-48-30-300000.csv,2,CCC,0.1304,2025/12/23 16:39,2025/12/23 16:54
2025-12-23-16-49-36-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-49-36-300000.csv,2,CCC,0.1297,2025/12/23 16:39,2025/12/23 16:54
2025-12-23-16-50-42-300000.csv,Data/LiCu_10C-1/before/2025-12-23-16-23-17-300000.csv,Data/LiCu_10C-1/after/2025-12-23-16-50-42-300000.csv,2,CCC,0.1335,2025/12/23 16:39,2025/12/23 16:54
